"","Location","Store_Type","Product_Variety","Traffic","Store_Size","Staff_Efficiency","Store_Age","Competitor_Distance","Monthly_Promotions","Economic_Indicator","Marketing_Expense","Monthly_Sales"
"337","San Francisco","Electronics",592,2039,349,69.3,25,15,4,91.4,19000,331780
"338","Los Angeles","Electronics",432,2138,341,84.9,4,11,3,107.9,7000,340240
"339","Los Angeles","Grocery",784,2317,320,54.1,2,12,5,85.7,24000,391820
"340","Sacramento","Clothing",520,1901,273,94.4,10,7,8,111.3,48000,301170
"341","Palo Alto","Grocery",477,916,82,89.6,22,14,8,109.5,50000,219900
"342","Los Angeles","Clothing",588,1755,347,77.6,6,13,4,86.7,11000,301570
"343","Palo Alto","Clothing",438,2198,249,51.1,4,8,4,71.3,11000,229480
"344","Palo Alto","Clothing",1092,2257,434,78.3,15,10,7,100.9,42000,534260
"345","Palo Alto","Clothing",561,1608,451,67.8,15,13,5,113.1,22000,399730
"346","Palo Alto","Clothing",970,1919,125,82,10,10,5,120.9,16000,443950
"347","Sacramento","Clothing",998,2083,279,80.2,27,3,3,88.5,7000,429020
"348","Los Angeles","Grocery",433,1862,365,74,21,9,6,100.6,37000,310540
"349","Palo Alto","Clothing",353,1890,471,78,30,17,7,88.2,49000,353710
"350","San Francisco","Clothing",618,1704,88,89.2,10,8,3,90.6,9000,327310
"351","Palo Alto","Grocery",444,1161,288,71.5,5,11,4,115.1,19000,310170
"352","Sacramento","Grocery",605,1631,154,52.2,3,12,4,71.8,12000,320730
"353","Los Angeles","Electronics",612,2343,347,70.7,21,10,3,84.3,10000,405070
"354","Sacramento","Grocery",406,2244,482,58.7,24,13,4,74.2,19000,304160
"355","Sacramento","Electronics",631,2222,153,90.3,17,10,5,134.5,11000,309290
"356","San Francisco","Grocery",417,1601,250,58,19,10,4,77.7,11000,227000
"357","Los Angeles","Grocery",284,2210,201,70.7,26,14,7,100.3,33000,180860
"358","Sacramento","Clothing",478,2216,403,80.5,21,8,8,89.8,45000,369030
"359","Los Angeles","Electronics",449,1924,326,91.8,5,13,6,106.1,28000,317090
"360","Los Angeles","Grocery",715,1792,203,91.4,11,11,6,105,35000,301120
"361","Los Angeles","Grocery",681,1723,242,73.6,27,8,7,99.5,44000,329700
"362","Palo Alto","Electronics",573,2697,339,73.4,6,3,3,100.4,12000,310500
"363","Sacramento","Grocery",533,2656,185,89,18,6,6,91.6,23000,255350
"364","Los Angeles","Electronics",634,2110,414,55.3,7,6,6,76.6,29000,367560
"365","Palo Alto","Clothing",753,1124,90,52,2,13,5,93.5,24000,281470
"366","San Francisco","Clothing",275,1552,424,60.4,14,7,7,110.7,42000,241590
"367","Palo Alto","Electronics",734,1855,194,80.3,26,11,6,120.2,35000,363210
"368","Sacramento","Electronics",396,1906,203,78.5,18,10,7,102.8,48000,239520
"369","Los Angeles","Electronics",348,2431,88,69.4,1,13,5,85.6,23000,176620
"370","Sacramento","Grocery",518,2121,366,74.9,28,12,4,101.5,6000,330540
"371","Sacramento","Grocery",460,852,59,54.2,8,11,5,76.3,27000,212780
"372","San Francisco","Electronics",614,1884,299,84.3,5,7,8,104.3,48000,394090
"373","Los Angeles","Grocery",666,1722,272,89.8,27,12,3,104.7,8000,376600
"374","Sacramento","Clothing",332,1482,165,72,18,11,7,114.9,40000,175080
"375","Palo Alto","Grocery",752,2385,232,55.7,26,14,7,109,44000,362660
"376","Los Angeles","Electronics",466,2043,252,72.7,27,9,6,86,26000,296710
"377","Los Angeles","Grocery",408,1797,434,72.3,7,10,5,100.3,11000,319680
"378","Los Angeles","Electronics",634,2514,272,51.6,13,2,3,106.4,9000,286130
"379","San Francisco","Grocery",543,2249,262,84.7,20,11,7,121,40000,331590
"380","Sacramento","Grocery",595,1629,184,68.4,3,8,5,85.5,22000,309930
"381","Los Angeles","Electronics",614,2048,453,82.5,23,11,7,120.6,38000,370870
"382","Palo Alto","Clothing",371,1399,358,83.6,21,7,7,120.8,39000,339060
"383","Los Angeles","Electronics",774,1527,271,76,27,8,4,101.6,8000,374970
"384","San Francisco","Clothing",528,2183,301,66.9,6,8,7,111.4,49000,304930
"385","Sacramento","Electronics",372,1040,86,70.8,27,9,4,72.7,14000,251240
"386","Palo Alto","Clothing",495,2226,56,93.7,19,14,4,117.8,19000,271460
"387","Palo Alto","Clothing",391,2802,343,90.4,23,9,4,117.3,15000,317220
"388","Los Angeles","Electronics",710,2376,154,68.3,6,7,5,60,19000,348080
"389","Sacramento","Grocery",500,2764,391,70.8,1,12,6,96,37000,325580
"390","San Francisco","Electronics",279,1628,306,90.8,8,13,3,86.4,8000,242390
"391","Sacramento","Electronics",622,2282,65,91.9,11,12,7,101.7,32000,287030
"392","Sacramento","Clothing",342,1774,228,81.4,6,12,6,98.9,35000,227300
"393","Sacramento","Grocery",697,3156,103,53.4,11,10,7,91.2,40000,343300
"394","Sacramento","Electronics",441,1810,84,50.2,11,11,5,120.3,13000,207520
"395","Palo Alto","Electronics",481,2160,95,75.9,5,10,6,109.6,28000,291800
"396","San Francisco","Electronics",677,2120,489,52.3,4,8,6,102.1,38000,394570
"397","San Francisco","Electronics",466,1554,122,63.6,27,11,5,107.3,22000,290230
"398","Los Angeles","Electronics",334,1567,499,57.4,11,9,4,90.3,6000,299800
"399","Sacramento","Clothing",628,1378,104,67.2,12,2,7,94.6,40000,283500
"400","Los Angeles","Grocery",426,1916,278,75.5,15,11,3,77.9,12000,289200
"401","San Francisco","Clothing",190,2033,449,56.3,17,7,5,104.5,28000,256920
"402","Palo Alto","Electronics",361,1497,270,85.1,15,9,5,99,14000,290110
"403","San Francisco","Electronics",468,2277,371,79,22,13,5,115.5,24000,311080
"404","Los Angeles","Grocery",931,1867,325,74.3,29,8,7,98.2,48000,427450
"405","Sacramento","Electronics",679,3144,133,69.6,11,17,8,96.8,50000,303720
"406","San Francisco","Electronics",742,2079,313,86.6,21,6,6,103.3,33000,379180
"407","Sacramento","Grocery",787,1973,93,80.5,10,7,7,100.7,40000,307520
"408","Sacramento","Electronics",387,2807,399,87.4,30,12,4,121.1,18000,353830
"409","Sacramento","Electronics",416,1135,295,52.2,21,12,3,92.1,7000,245210
"410","Sacramento","Grocery",550,1679,420,66.3,16,10,7,96.6,46000,341910
"411","Palo Alto","Grocery",550,1861,123,64.5,4,14,6,108.4,36000,283380
"412","San Francisco","Clothing",762,1608,209,58.3,27,9,5,62.5,22000,398010
"413","Sacramento","Electronics",624,1644,314,62.3,7,14,5,108.2,34000,396780
"414","Los Angeles","Electronics",150,2034,54,53.2,24,11,5,106.3,31000,107160
"415","Sacramento","Electronics",825,2567,132,55.8,11,10,8,93.6,49000,313330
"416","Palo Alto","Electronics",458,1201,449,81.5,9,11,7,100.8,41000,311910
"417","San Francisco","Clothing",463,2099,190,55,27,10,7,105.3,40000,222450
"418","Palo Alto","Clothing",497,2768,447,67.8,8,7,7,97.7,41000,342200
"419","Los Angeles","Clothing",562,1613,83,90.5,29,7,5,110.7,19000,260110
"420","Sacramento","Electronics",594,1554,301,82.9,9,11,3,110,11000,294190
"421","San Francisco","Electronics",507,2174,252,50.6,15,16,6,86.7,33000,250710
"422","Palo Alto","Grocery",681,2180,454,60.4,11,8,7,121.9,45000,432770
"423","San Francisco","Clothing",632,1891,377,71.7,25,15,5,93.7,28000,374930
"424","San Francisco","Electronics",449,1755,254,71.3,1,12,7,92.5,35000,297890
"425","San Francisco","Electronics",715,2247,415,78.2,25,12,6,78.1,36000,444850
"426","San Francisco","Grocery",527,1792,110,85.1,6,11,4,110.2,13000,282610
"427","Los Angeles","Clothing",488,1774,407,55.7,19,12,4,101.2,24000,352240
"428","Palo Alto","Grocery",577,781,186,67,7,12,6,92.2,30000,310450
"429","Palo Alto","Clothing",474,2602,434,88.4,11,14,5,99.2,18000,361950
"430","Sacramento","Grocery",746,2134,195,72.1,15,12,6,61.4,43000,369000
"431","San Francisco","Grocery",639,2433,416,92,26,8,7,84.7,37000,356220
"432","Sacramento","Clothing",329,2510,425,90.2,18,5,8,113.5,50000,340770
"433","Palo Alto","Grocery",234,1624,310,81.1,1,9,5,96.6,24000,263870
"434","Sacramento","Electronics",474,930,138,86.6,29,9,4,111.7,8000,303720
"435","Sacramento","Clothing",412,1913,281,65.9,8,7,6,92.1,29000,319700
"436","San Francisco","Clothing",561,2474,70,51,5,13,7,115.9,49000,253250
"437","Palo Alto","Clothing",600,2276,494,56.4,28,9,4,116.6,10000,407830
"438","Palo Alto","Grocery",528,1422,217,51.9,7,12,7,100.7,40000,237300
"439","San Francisco","Electronics",461,2342,283,80.6,16,3,7,96.4,44000,289610
"440","San Francisco","Clothing",658,2010,303,52.6,16,9,5,115.8,26000,357230
"441","San Francisco","Electronics",585,1760,485,52.3,27,11,4,86.6,11000,349040
"442","San Francisco","Clothing",657,1658,445,56.3,11,10,8,89.8,46000,438630
"443","Los Angeles","Electronics",262,2213,313,64.6,9,12,7,103.7,40000,250210
"444","Palo Alto","Electronics",364,1585,235,93.3,22,9,4,115.3,22000,254570
"445","Palo Alto","Clothing",384,2016,54,62.4,12,12,6,103.6,38000,169890
"446","Sacramento","Grocery",553,1325,409,63.5,11,8,6,103.7,39000,396700
"447","San Francisco","Clothing",466,1473,322,55.9,17,8,3,88.5,8000,258970
"448","Los Angeles","Grocery",543,1136,474,71.5,4,12,7,94.7,41000,375310
"449","Palo Alto","Grocery",470,1706,51,79.9,11,11,6,97.4,36000,212000
"450","Sacramento","Electronics",323,1999,351,78,25,12,7,95.2,48000,243870
"451","Sacramento","Electronics",666,2370,187,74.8,29,8,8,94.9,45000,361830
"452","San Francisco","Grocery",340,1014,119,77.3,20,10,7,96.2,40000,168600
"453","Palo Alto","Clothing",332,2356,235,55.2,8,11,5,118.1,22000,237410
"454","Los Angeles","Grocery",419,1974,272,54.8,22,7,6,103,29000,257880
"455","Palo Alto","Clothing",392,2245,117,71.8,1,12,6,88.6,32000,221280
"456","Palo Alto","Grocery",534,1737,280,61.3,26,13,6,84.4,35000,288180
"457","Los Angeles","Electronics",442,2896,154,78.3,1,11,7,126,40000,281030
"458","Palo Alto","Clothing",622,1774,135,75.1,1,11,4,103.5,13000,249320
"459","Sacramento","Grocery",495,1021,268,80.5,2,15,5,93.1,20000,315190
"460","Sacramento","Clothing",709,3265,211,56.9,2,12,6,83.8,30000,381880
"461","Palo Alto","Electronics",639,1720,331,77,27,12,6,119,28000,341440
"462","San Francisco","Electronics",338,2292,379,50.5,21,14,8,95.2,50000,323100
"463","Palo Alto","Clothing",382,1594,313,80.6,13,7,7,102.7,47000,235530
"464","Sacramento","Grocery",589,2044,487,89,16,12,5,91.3,19000,363920
"465","Palo Alto","Clothing",474,2163,207,69.8,18,9,6,114.2,34000,265670
"466","Sacramento","Clothing",546,1439,321,65.1,5,9,4,84.6,14000,301740
"467","Sacramento","Electronics",567,2483,179,54.5,25,6,6,108.6,39000,296220
"468","San Francisco","Grocery",654,2792,254,74.5,11,14,4,88.7,10000,342550
"469","Los Angeles","Electronics",594,2047,62,69.8,23,11,3,86.8,12000,302610
"470","Los Angeles","Electronics",375,2241,120,62.1,24,9,7,98.2,48000,224510
"471","Palo Alto","Electronics",639,1037,474,80.7,22,13,8,91.8,48000,396600
"472","Palo Alto","Electronics",285,1994,329,87.6,11,10,5,107.6,26000,301090
"473","Los Angeles","Grocery",446,1757,310,68.2,8,7,7,94.4,38000,261330
"474","Los Angeles","Grocery",579,2040,435,82.4,2,14,6,98.6,32000,331350
"475","San Francisco","Grocery",419,1323,260,60.3,29,12,4,106.7,14000,282880
"476","Sacramento","Clothing",217,1985,224,74.4,14,12,3,76.7,7000,241720
"477","Sacramento","Electronics",665,2012,329,78.4,23,9,5,110.7,20000,416660
"478","Palo Alto","Grocery",289,2419,69,69.3,11,5,4,108.6,17000,156120
"479","Los Angeles","Electronics",260,1467,147,71.9,27,14,6,95.8,35000,151120
"480","San Francisco","Electronics",485,1775,463,52.6,25,7,6,102.9,27000,389190
"481","Sacramento","Clothing",275,1702,327,50.8,22,8,4,103.8,18000,204740
"482","San Francisco","Clothing",523,1596,462,83.9,25,11,5,99.8,26000,377780
"483","San Francisco","Grocery",504,2366,463,90.8,10,13,5,101.3,27000,402530
"484","Los Angeles","Electronics",857,1751,109,58.4,12,13,6,104.4,26000,355240
"485","Sacramento","Electronics",614,2352,60,71.2,18,8,8,75.9,49000,275950
"486","San Francisco","Electronics",340,2359,261,81,14,10,5,112.3,15000,223440
"487","Sacramento","Clothing",275,2045,185,92.2,28,8,7,87.6,43000,234710
"488","Sacramento","Clothing",383,2541,183,71.5,12,10,7,79.2,42000,202560
"489","Sacramento","Electronics",363,2443,222,53.7,28,18,4,123.1,6000,194530
"490","Sacramento","Grocery",470,2605,490,85.3,17,9,5,100.9,21000,398880
"491","Palo Alto","Grocery",430,2572,337,55.9,30,9,6,92.3,32000,300070
"492","Sacramento","Grocery",506,2239,273,55.7,30,10,7,104,44000,298680
"493","Los Angeles","Electronics",398,2078,71,77.1,3,11,6,111.7,32000,214010
"494","Palo Alto","Grocery",610,1711,283,60.8,7,10,5,92.5,12000,338100
"495","Los Angeles","Grocery",554,1978,53,80.8,18,16,4,98.4,6000,205500
"496","San Francisco","Clothing",740,2028,62,78.9,11,12,4,82.4,19000,338840
"497","Sacramento","Clothing",660,2647,398,69.9,24,7,7,108.5,38000,375030
"498","San Francisco","Electronics",651,1407,347,55,29,10,4,136,14000,371490
"499","San Francisco","Clothing",575,2041,491,79.3,9,9,6,100.3,35000,394710
"500","Palo Alto","Clothing",279,2739,280,64.5,6,15,3,77.3,10000,268290
"501","Sacramento","Clothing",603,1642,374,94.6,7,14,3,131.3,8000,401360
"502","Sacramento","Grocery",472,2223,146,52.1,19,9,7,91.8,48000,218270
"503","Los Angeles","Electronics",398,1740,213,80.8,27,11,3,86.2,7000,242330
"504","Los Angeles","Grocery",420,1977,354,77.5,6,10,6,101.2,26000,306390
"505","San Francisco","Grocery",618,2110,500,68.4,14,4,8,89.5,42000,366290
"506","Sacramento","Clothing",713,2024,460,72.4,27,15,5,92.3,32000,436220
"507","Palo Alto","Electronics",587,1823,450,60.4,4,11,5,102.2,18000,386730
"508","San Francisco","Electronics",400,1968,250,64.4,9,13,3,119.2,7000,261420
"509","San Francisco","Electronics",417,2393,69,78.5,29,7,5,105.7,23000,260500
"510","Los Angeles","Grocery",422,2396,95,59.3,6,6,5,102.1,17000,260980
"511","Sacramento","Electronics",492,1896,337,72,3,12,7,91.1,38000,274290
"512","Los Angeles","Grocery",571,1757,489,87.6,20,7,5,96.8,27000,391140
"513","San Francisco","Grocery",497,2062,66,51,28,7,5,99.5,22000,189480
"514","Los Angeles","Electronics",617,1573,488,73.8,20,11,5,93.6,26000,370940
"515","Los Angeles","Grocery",727,1136,202,90.9,16,12,6,97,31000,387670
"516","Sacramento","Grocery",381,1732,134,93.4,7,14,6,98.3,26000,188080
"517","San Francisco","Clothing",374,1083,250,71.3,24,6,3,123.4,8000,257470
"518","Palo Alto","Grocery",448,2338,287,70.9,9,11,4,105.1,15000,320810
"519","San Francisco","Grocery",497,2440,375,92.3,4,5,7,80,47000,321770
"520","Sacramento","Grocery",465,2983,367,50,19,10,7,98.2,49000,277210
"521","Sacramento","Electronics",355,2179,242,67.1,24,8,3,90.4,9000,265090
"522","Sacramento","Electronics",542,540,223,63.8,23,9,5,118.8,27000,308750
"523","Palo Alto","Grocery",692,1429,478,94,3,6,5,101.2,26000,400430
"524","San Francisco","Clothing",434,1348,421,70.4,3,14,7,94.2,36000,358370
"525","Sacramento","Clothing",407,1681,383,56.9,17,13,5,102.9,28000,274940
"526","Los Angeles","Clothing",532,2254,430,75.5,10,15,7,76,50000,395450
"527","Sacramento","Grocery",562,1547,365,60.6,2,8,7,89.9,47000,366100
"528","Palo Alto","Electronics",606,2756,209,93.6,14,8,4,116.6,11000,279560
"529","San Francisco","Grocery",673,2129,259,94.7,8,9,7,100.3,34000,339770
"530","Palo Alto","Grocery",273,1373,373,90,24,10,5,114.4,14000,234150
"531","Palo Alto","Clothing",321,2434,230,79.4,15,7,7,96,39000,216230
"532","Sacramento","Grocery",504,2180,391,70.3,6,12,6,86.6,33000,309870
"533","San Francisco","Electronics",461,1638,199,65.6,18,10,6,84.4,35000,275100
"534","Palo Alto","Electronics",666,1850,257,58,19,8,5,96.7,26000,350720
"535","San Francisco","Grocery",686,1736,489,51.8,8,8,6,94.1,34000,406820
"536","San Francisco","Electronics",341,2364,344,58.7,28,14,5,110,12000,281470
"537","San Francisco","Clothing",461,2281,483,72.9,6,11,5,123.3,30000,384910
"538","San Francisco","Electronics",596,2743,157,87,30,9,5,75.2,24000,346770
"539","Los Angeles","Electronics",596,1229,311,85.2,18,13,4,94.3,14000,323540
"540","Palo Alto","Grocery",275,2606,397,79,12,8,8,105.6,45000,278440
"541","Palo Alto","Clothing",694,2668,51,83,21,13,3,94.1,12000,335760
"542","San Francisco","Clothing",509,2374,120,94.3,1,7,4,96.1,17000,236310
"543","San Francisco","Clothing",499,1405,198,51.8,17,1,7,77.6,35000,299420
"544","Sacramento","Clothing",499,2300,186,57.3,23,11,5,85.1,19000,271330
"545","San Francisco","Clothing",492,1844,86,64.3,23,9,5,113.1,25000,260850
"546","Los Angeles","Clothing",788,1754,221,52.3,26,12,6,108,33000,337010
"547","Los Angeles","Grocery",713,2563,221,59.2,11,1,7,109.9,33000,318090
"548","Sacramento","Electronics",916,2490,440,51.6,21,9,5,109.2,25000,430080
"549","San Francisco","Electronics",367,2542,269,84.6,19,9,4,90.5,10000,227890
"550","Palo Alto","Grocery",521,2552,471,94.4,15,11,6,60.8,22000,403890
"551","San Francisco","Clothing",492,2177,394,60.6,29,9,8,96.8,50000,287830
"552","San Francisco","Clothing",386,1857,64,64.7,22,16,7,87.3,41000,199300
"553","San Francisco","Electronics",366,1793,103,91.9,8,10,8,76,50000,202620
"554","San Francisco","Electronics",472,1892,370,78.5,27,13,5,105.4,20000,295100
"555","Los Angeles","Grocery",432,1875,217,94.1,9,14,6,97,30000,240400
"556","Palo Alto","Electronics",520,1307,446,60.3,27,14,6,86.8,36000,348620
"557","Palo Alto","Clothing",576,2045,122,57.1,23,11,6,98.6,32000,243550
"558","Sacramento","Electronics",629,2236,456,65.4,5,3,8,118.7,50000,342740
"559","Palo Alto","Grocery",691,2134,311,56.3,22,8,4,93.1,21000,390030
"560","Sacramento","Clothing",541,1613,198,74.7,6,11,7,79,42000,291290
"561","Los Angeles","Clothing",507,2126,83,65.7,19,3,5,106.8,16000,232630
"562","Sacramento","Electronics",703,1860,362,71.1,16,14,7,74.7,45000,394610
"563","Sacramento","Electronics",606,2429,55,50.4,26,12,5,102.4,21000,264970
"564","San Francisco","Clothing",338,1582,295,80.6,22,9,7,82.3,41000,266760
"565","Los Angeles","Clothing",468,2753,60,90.4,2,12,6,123.6,31000,211540
"566","Los Angeles","Grocery",571,2412,405,72.6,22,11,5,85,19000,376630
"567","Palo Alto","Clothing",502,1904,471,56.3,30,15,5,74.6,22000,317090
"568","Palo Alto","Grocery",764,1540,491,73.3,1,9,7,99.8,49000,415600
"569","Los Angeles","Clothing",638,3111,222,73,11,10,6,114.1,34000,282790
"570","Los Angeles","Grocery",449,1991,60,52.3,17,4,6,131.6,32000,191460
"571","Los Angeles","Electronics",338,1625,79,67.7,17,10,5,111.3,23000,162110
"572","Los Angeles","Electronics",567,1793,329,71.7,22,12,5,82,13000,370180
"573","Palo Alto","Electronics",423,1277,270,65.6,20,10,5,111.1,21000,278990
"574","San Francisco","Grocery",589,2193,174,66.6,19,3,5,111.2,22000,269450
"575","Palo Alto","Clothing",498,2273,87,59,25,6,6,96.1,36000,257230
"576","Sacramento","Grocery",310,1538,118,94.9,3,6,6,105,32000,162950
"577","Palo Alto","Grocery",704,1891,146,58.3,11,5,5,107.9,27000,310290
"578","Sacramento","Electronics",625,1983,238,60.9,11,16,5,98.3,24000,327960
"579","Sacramento","Grocery",747,1783,403,77.9,7,4,6,101.6,28000,383430
"580","San Francisco","Grocery",388,2108,336,80.4,28,8,5,102.8,24000,254070
"581","Palo Alto","Clothing",631,2336,122,83,24,13,8,127.7,43000,332070
"582","Los Angeles","Grocery",454,1128,488,58,30,14,5,110.4,13000,386020
"583","Palo Alto","Grocery",308,2033,247,59.1,3,12,7,82.2,37000,263840
"584","Los Angeles","Grocery",568,2542,496,64.4,4,11,4,93.2,18000,422240
"585","Los Angeles","Electronics",649,1358,248,56.8,1,14,6,88.8,31000,324370
"586","Los Angeles","Electronics",414,1952,230,53.5,1,5,8,116.2,49000,268320
"587","San Francisco","Clothing",804,1505,363,59,2,8,4,103.5,11000,389150
"588","Sacramento","Clothing",466,1437,306,80.4,1,6,5,96.6,21000,334290
"589","Los Angeles","Electronics",441,1732,268,66.9,16,6,3,105.2,13000,251570
"590","Palo Alto","Clothing",563,2304,315,85.4,9,7,6,81.9,34000,318200
"591","Los Angeles","Electronics",717,1254,493,75,18,8,4,82.5,16000,426620
"592","San Francisco","Electronics",475,1866,216,83.3,21,13,6,114.4,33000,285010
"593","Los Angeles","Grocery",339,1984,387,64.1,23,10,7,95.4,48000,242270
"594","San Francisco","Grocery",595,2081,379,79.7,1,7,6,112.4,36000,375540
"595","San Francisco","Grocery",455,2251,359,93.8,30,8,4,90.7,8000,291090
"596","Palo Alto","Electronics",771,1843,312,89.1,8,11,6,116.9,32000,363200
"597","Sacramento","Clothing",656,2947,120,84.4,20,9,7,114.5,34000,274070
"598","Sacramento","Electronics",416,1658,337,65.3,2,7,5,104.9,31000,334350
"599","Palo Alto","Electronics",698,2112,239,83.8,30,11,7,98.8,31000,303100
"600","Los Angeles","Electronics",525,2167,423,66,11,13,4,126.7,17000,348180
"601","Los Angeles","Electronics",386,1485,441,55.5,11,7,8,89.8,43000,331690
"602","Los Angeles","Electronics",525,1834,114,69.7,5,14,7,94.5,37000,294350
"603","San Francisco","Electronics",525,2001,269,67.8,23,9,6,106.2,27000,271420
"604","Sacramento","Grocery",688,1775,355,61.7,17,12,4,125.3,13000,344690
"605","Los Angeles","Clothing",431,2376,131,90.4,4,12,5,102.3,17000,242190
"606","Palo Alto","Clothing",739,2175,200,56.6,14,5,5,104.2,22000,352950
"607","Los Angeles","Clothing",505,1883,399,83.8,9,9,6,86.8,32000,328910
"608","San Francisco","Clothing",709,2114,265,64.6,6,10,5,95.2,25000,352220
"609","Los Angeles","Grocery",723,1397,458,83.1,25,8,5,99.8,23000,438810
"610","San Francisco","Grocery",472,1166,142,71.1,28,11,6,95.7,32000,268570
"611","San Francisco","Grocery",367,2345,350,73.6,26,5,7,104.4,47000,328620
"612","Los Angeles","Electronics",566,1732,447,86.3,28,5,8,107.7,47000,381340
"613","Sacramento","Clothing",483,2331,398,54,5,9,6,83.5,25000,338970
"614","San Francisco","Electronics",638,2338,149,63.8,1,12,6,117.3,36000,280170
"615","Sacramento","Clothing",599,2029,72,75,14,9,5,91.5,19000,225370
"616","Sacramento","Clothing",422,1902,400,74.7,20,7,5,90.2,26000,312010
"617","Sacramento","Electronics",406,1839,439,56.9,6,12,6,81.9,35000,305040
"618","Sacramento","Grocery",502,1935,255,88.5,25,6,8,107.9,49000,270550
"619","Palo Alto","Grocery",463,1918,102,59.1,8,7,4,99.2,15000,205120
"620","San Francisco","Electronics",550,1405,331,70.3,26,7,4,89.9,21000,324290
"621","San Francisco","Clothing",611,2088,458,67,22,14,4,100.8,16000,356170
"622","Los Angeles","Electronics",680,2285,341,75.4,4,8,6,125.1,34000,418100
"623","Sacramento","Electronics",443,1796,232,75.1,23,6,5,63.5,20000,262340
"624","Palo Alto","Grocery",560,1849,241,73.3,16,14,7,106.6,33000,342350
"625","Sacramento","Grocery",513,2611,285,52.7,10,9,4,112.4,14000,324620
"626","San Francisco","Electronics",718,2233,112,58.2,7,8,7,85.5,43000,353750
"627","San Francisco","Clothing",613,1343,256,82.5,17,6,5,107.2,18000,368410
"628","Los Angeles","Clothing",348,1990,496,67.6,14,12,6,89.4,39000,312760
"629","Sacramento","Clothing",396,1838,469,73,6,8,7,89.9,44000,294260
"630","San Francisco","Grocery",504,1637,362,55.2,27,7,6,98.8,31000,325230
"631","Sacramento","Electronics",435,2546,429,83.9,5,10,6,94.4,35000,377420
"632","Sacramento","Grocery",620,2150,449,56,6,13,5,112.7,17000,341570
"633","Sacramento","Electronics",557,1906,180,55.6,16,4,7,83.4,47000,327690
"634","Sacramento","Grocery",370,2743,469,79.9,22,10,7,91.8,45000,316710
"635","Palo Alto","Electronics",854,2377,459,67.9,29,7,7,101.8,31000,423530
"636","San Francisco","Clothing",321,1756,380,51.6,12,13,4,112.3,13000,299330
"637","Sacramento","Clothing",601,1167,321,90.5,10,11,5,98.1,21000,346310
"638","Los Angeles","Electronics",355,2158,225,91.6,8,6,6,98.1,22000,293170
"639","San Francisco","Clothing",349,1879,224,54.8,19,14,4,94.5,14000,225020
"640","Los Angeles","Grocery",609,2575,254,90.7,28,15,3,103.4,10000,364640
"641","San Francisco","Grocery",529,1390,283,54.1,6,14,3,106.2,5000,296740
"642","Los Angeles","Electronics",667,2350,253,77,28,9,4,100.3,10000,321370
"643","Los Angeles","Grocery",543,1054,89,73.7,2,14,3,100.1,6000,226010
"644","Sacramento","Grocery",420,2534,350,51.5,15,11,4,104.9,10000,259540
"645","San Francisco","Clothing",676,977,137,54.1,10,8,5,69.8,28000,341450
"646","Palo Alto","Clothing",481,1755,52,74.1,17,9,7,113.1,44000,266150
"647","San Francisco","Grocery",357,2416,262,75.1,20,8,4,85.8,23000,206160
"648","San Francisco","Electronics",509,1885,425,64.6,15,8,6,80.5,26000,376080
"649","Palo Alto","Clothing",414,1274,300,81.7,20,3,7,119.8,31000,268400
"650","San Francisco","Clothing",591,1919,281,78.4,20,6,7,101.5,49000,335480
"651","Los Angeles","Grocery",471,1448,414,83.9,22,9,4,90.9,11000,303410
"652","Palo Alto","Grocery",658,1371,357,60.3,21,7,5,79.8,21000,368240
"653","Palo Alto","Grocery",456,2256,441,71.6,14,11,8,88.4,50000,368980
"654","Sacramento","Clothing",283,2478,74,53.9,10,9,6,93.1,41000,140600
"655","Sacramento","Grocery",599,2328,130,63.7,10,17,7,97.2,30000,265760
"656","Los Angeles","Electronics",400,1265,303,72,14,11,8,83.4,47000,272140
"657","San Francisco","Grocery",762,1510,475,52.8,16,7,5,107.1,18000,479270
"658","Los Angeles","Grocery",521,1648,467,68.4,24,13,4,80.8,5000,363260
"659","Los Angeles","Clothing",374,1832,446,82.6,23,15,5,102.7,22000,276470
"660","Sacramento","Electronics",617,1193,400,77.8,30,9,7,85.9,46000,327080
"661","San Francisco","Clothing",566,2189,208,73.1,12,6,8,83.6,48000,336640
"662","Palo Alto","Clothing",432,2188,59,69.9,30,11,6,88.1,24000,249560
"663","San Francisco","Clothing",443,2079,290,63.7,19,12,6,84.2,31000,302740
"664","San Francisco","Clothing",539,1062,145,70.6,9,9,3,101.8,10000,262910
"665","San Francisco","Clothing",565,1426,492,80.4,30,8,7,121.8,43000,399560
"666","San Francisco","Clothing",147,1799,166,94.6,25,17,6,73.2,37000,195550
"667","Los Angeles","Clothing",150,1968,320,92.7,13,10,5,93.8,27000,172990
"668","Palo Alto","Electronics",438,1738,406,86.6,7,13,5,105.1,13000,310370
"669","Palo Alto","Grocery",359,1769,60,90.6,16,9,5,93.6,25000,191940
"670","Sacramento","Grocery",458,2141,251,81.5,3,7,5,91.7,22000,288860
"671","Palo Alto","Clothing",531,2232,414,54.9,25,12,5,89.6,18000,332960
"672","Sacramento","Clothing",839,2545,280,80.7,23,16,4,97.4,10000,398450
"673","Palo Alto","Grocery",100,1854,473,54.2,12,12,4,101.8,9000,221470
"674","Sacramento","Grocery",298,2329,279,66.9,23,10,4,94.2,10000,275580
